sedra_num,heb_num,book,chap,verse
1,א,Daniel,1,1
2,ב,Daniel,2,35
3,ג,Daniel,3,30
4,ד,Daniel,5,12
5,ה,Daniel,6,11
6,ו,Daniel,9,4
7,ז,Daniel,10,21
1,א,Ezra,1,1
2,ב,Ezra,3,13
3,ג,Ezra,6,18
4,ד,Ezra,8,35
5,ה,Nehemiah,1,11
6,ו,Nehemiah,3,38
7,ז,Nehemiah,6,15
8,ח,Nehemiah,8,10
9,ט,Nehemiah,10,1
10,י,Nehemiah,12,27
1,א,1Chronicles,1,1
2,ב,1Chronicles,4,10
3,ג,1Chronicles,6,34
4,ד,1Chronicles,8,40
5,ה,1Chronicles,11,9
6,ו,1Chronicles,12,41
7,ז,1Chronicles,16,36
8,ח,1Chronicles,19,13
9,ט,1Chronicles,22,19
10,י,1Chronicles,26,5
11,יא,1Chronicles,28,10
12,יב,2Chronicles,2,3
13,יג,2Chronicles,5,14
14,יד,2Chronicles,7,11
15,טו,2Chronicles,9,24
16,טז,2Chronicles,12,12
17,יז,2Chronicles,15,15
18,יח,2Chronicles,18,18
19,יט,2Chronicles,20,31
20,כ,2Chronicles,23,11
21,כא,2Chronicles,26,2
22,כב,2Chronicles,29,11
23,כג,2Chronicles,31,10
24,כד,2Chronicles,34,2
25,כה,2Chronicles,35,6
