sedra_num,heb_num,book,chap,verse
1,א,Isaiah,1,1
2,ב,Isaiah,4,3
3,ג,Isaiah,6,3
4,ד,Isaiah,9,6
5,ה,Isaiah,11,2
6,ו,Isaiah,14,2
7,ז,Isaiah,16,5
8,ח,Isaiah,19,25
9,ט,Isaiah,22,23
10,י,Isaiah,24,23
11,יא,Isaiah,27,13
12,יב,Isaiah,29,23
13,יג,Isaiah,32,18
14,יד,Isaiah,35,10
15,טו,Isaiah,37,20
16,טז,Isaiah,40,1
17,יז,Isaiah,41,27
18,יח,Isaiah,44,6
19,יט,Isaiah,45,17
20,כ,Isaiah,48,2
21,כא,Isaiah,49,26
22,כב,Isaiah,52,7
23,כג,Isaiah,55,13
24,כד,Isaiah,58,14
25,כה,Isaiah,61,9
1,א,Jeremiah,1,1
2,ב,Jeremiah,3,4
3,ג,Jeremiah,5,1
4,ד,Jeremiah,6,2
5,ה,Jeremiah,7,23
6,ו,Jeremiah,9,23
7,ז,Jeremiah,12,15
8,ח,Jeremiah,14,22
9,ט,Jeremiah,17,7
9*,[ט*],Jeremiah,17,26
10,י,Jeremiah,18,19
11,יא,Jeremiah,20,13
12,יב,Jeremiah,23,6
13,יג,Jeremiah,24,7
14,יד,Jeremiah,26,1
15,טו,Jeremiah,27,5
16,טז,Jeremiah,29,7
17,יז,Jeremiah,30,9
18,יח,Jeremiah,31,32
19,יט,Jeremiah,32,22
20,כ,Jeremiah,33,16
21,כא,Jeremiah,35,10
22,כב,Jeremiah,36,26
23,כג,Jeremiah,38,8
24,כד,Jeremiah,39,18
25,כה,Jeremiah,42,12
26,כו,Jeremiah,44,20
27,כז,Jeremiah,46,27
28,כח,Jeremiah,49,2
29,כט,Jeremiah,50,5
30,ל,Jeremiah,51,10
31,לא,Jeremiah,51,59
1,א,Ezekiel,1,1
2,ב,Ezekiel,3,12
3,ג,Ezekiel,6,1
4,ד,Ezekiel,8,1
5,ה,Ezekiel,10,1
6,ו,Ezekiel,11,20
7,ז,Ezekiel,14,1
8,ח,Ezekiel,16,14
9,ט,Ezekiel,16,60
10,י,Ezekiel,18,9
11,יא,Ezekiel,20,1
12,יב,Ezekiel,20,41
13,יג,Ezekiel,22,16
14,יד,Ezekiel,23,27
15,טו,Ezekiel,24,24
16,טז,Ezekiel,26,20
17,יז,Ezekiel,28,13
18,יח,Ezekiel,29,21
19,יט,Ezekiel,32,1
20,כ,Ezekiel,33,16
21,כא,Ezekiel,34,26
22,כב,Ezekiel,36,25
23,כג,Ezekiel,37,28
24,כד,Ezekiel,39,22
25,כה,Ezekiel,40,45
26,כו,Ezekiel,42,13
27,כז,Ezekiel,43,27
28,כח,Ezekiel,45,15
29,כט,Ezekiel,47,12
1,א,Hosea,1,1
2,ב,Hosea,6,2
3,ג,Hosea,10,12
4,ד,Hosea,14,6
5,ה,Joel,2,27
6,ו,Amos,2,10
7,ז,Amos,5,14
8,ח,Amos,7,15
9,ט,Obadiah,1,21
10,י,Micah,1,1
11,יא,Micah,4,5
12,יב,Micah,7,20
13,יג,Habbakuk,1,1
14,יד,Zephaniah,1,1
15,טו,Zephaniah,3,20
16,טז,Haggai,2,23
17,יז,Zek,4,2
18,יח,Zek,6,14
19,יט,Zek,8,23
20,כ,Zek,12,1
20*,כ*,Zek,14,16
21,כא,Zek,14,21
