sedra_num,heb_num,book,chap,verse
1,א,Genesis,1,1
2,ב,Genesis,2,4
3,ג,Genesis,3,22
4,ד,Genesis,5,1
5,ה,Genesis,6,9
6,ו,Genesis,8,1
7,ז,Genesis,8,15
8,ח,Genesis,9,18
9,ט,Genesis,11,1
10,י,Genesis,12,1
11,יא,Genesis,14,1
12,יב,Genesis,15,1
13,יג,Genesis,16,1
14,יד,Genesis,17,1
15,טו,Genesis,18,1
16,טז,Genesis,19,1
17,יז,Genesis,20,1
18,יח,Genesis,21,1
19,יט,Genesis,22,1
19*,יט*,Genesis,22,20
20,כ,Genesis,24,1
21,כא,Genesis,24,42
22,כב,Genesis,25,1
23,כג,Genesis,25,19
24,כד,Genesis,27,1
25,כה,Genesis,27,28
26,כו,Genesis,28,10
27,כז,Genesis,29,31
28,כח,Genesis,30,22
29,כט,Genesis,31,3
30,ל,Genesis,32,4
31,לא,Genesis,33,18
32,לב,Genesis,35,9
33,לג,Genesis,37,1
34,לד,Genesis,38,1
35,לה,Genesis,39,1
35*,לה*,Genesis,40,1
36,לו,Genesis,41,1
37,לז,Genesis,41,38
38,לח,Genesis,42,18
39,לט,Genesis,43,14
40,מ,Genesis,44,18
41,מא,Genesis,46,28
42,מב,Genesis,48,1
43,מג,Genesis,49,1
43*,מג*,Genesis,49,27
1,א,Exodus,1,1
1*,א*,Exodus,2,1
2,ב,Exodus,3,1
3,ג,Exodus,4,18
4,ד,Exodus,6,2
5,ה,Exodus,7,8
6,ו,Exodus,8,16
7,ז,Exodus,10,1
8,ח,Exodus,11,1
9,ט,Exodus,12,29
10,י,Exodus,13,1
11,יא,Exodus,14,15
12,יב,Exodus,16,4
13,יג,Exodus,16,28
14,יד,Exodus,18,1
15,טו,Exodus,19,6
16,טז,Exodus,21,1
17,יז,Exodus,22,24
17*,יז*,Exodus,23,20
18,יח,Exodus,25,1
19,יט,Exodus,26,1
20,כ,Exodus,26,31
21,כא,Exodus,27,20
22,כב,Exodus,29,1
23,כג,Exodus,30,1
24,כד,Exodus,31,1
25,כה,Exodus,32,15
25*,כה*,Exodus,34,1
26,כו,Exodus,34,27
26*,כו*,Exodus,35,30
27,כז,Exodus,37,1
28,כח,Exodus,38,21
29,כט,Exodus,39,33
1,א,Leviticus,1,1
2,ב,Leviticus,4,1
2*,ב*,Leviticus,5,1
3,ג,Leviticus,6,12
4,ד,Leviticus,8,1
5,ה,Leviticus,10,8
6,ו,Leviticus,11,1
7,ז,Leviticus,12,1
8,ח,Leviticus,13,29
9,ט,Leviticus,14,1
10,י,Leviticus,14,33
11,יא,Leviticus,15,1
12,יב,Leviticus,15,25
13,יג,Leviticus,17,1
14,יד,Leviticus,18,1
15,טו,Leviticus,19,1
16,טז,Leviticus,19,23
17,יז,Leviticus,21,1
18,יח,Leviticus,22,17
19,[יט],Leviticus,23,9
19,(יט),Leviticus,23,15
19*,יט*,Leviticus,24,1
20,כ,Leviticus,25,14
21,כא,Leviticus,25,35
22,כב,Leviticus,26,3
23,כג,Leviticus,27,1
1,א,Numbers,1,1
2,ב,Numbers,2,1
3,ג,Numbers,3,1
4,ד,Numbers,4,17
5,ה,Numbers,5,11
5*,ה*,Numbers,6,1
6,ו,Numbers,6,22
7,ז,Numbers,7,48
8,ח,Numbers,8,1
9,ט,Numbers,10,1
10,י,Numbers,11,16
11,יא,Numbers,11,23
12,יב,Numbers,13,1
13,יג,Numbers,14,11
14,יד,Numbers,15,1
15,טו,Numbers,16,1
16,טז,Numbers,17,16
17,(יז),Numbers,18,25
17,[יז],Numbers,19,1
18,יח,Numbers,20,14
19,יט,Numbers,22,2
20,כ,Numbers,23,10
21,כא,Numbers,25,1
22,כב,Numbers,25,10
23,כג,Numbers,26,52
24,כד,Numbers,27,15
25,כה,Numbers,28,26
26,כו,Numbers,30,2
27,כז,Numbers,31,1
28,כח,Numbers,31,25
29,כט,Numbers,32,1
30,ל,Numbers,33,1
31,לא,Numbers,34,1
32,לב,Numbers,35,9
1,א,Deuteronomy,1,1
2,ב,Deuteronomy,2,2
3,ג,Deuteronomy,2,31
4,ד,Deuteronomy,3,23
4*,ד*,Deuteronomy,4,25
5,ה,Deuteronomy,4,41
6,ו,Deuteronomy,6,4
7,ז,Deuteronomy,7,12
8,ח,Deuteronomy,9,1
9,ט,Deuteronomy,10,1
10,י,Deuteronomy,11,10
11,יא,Deuteronomy,12,20
11*,יא*,Deuteronomy,13,2
12,יב,Deuteronomy,14,1
13,יג,Deuteronomy,15,7
14,יד,Deuteronomy,16,18
15,טו,Deuteronomy,17,14
15*,טו*,Deuteronomy,18,14
16,טז,Deuteronomy,20,10
16*,טז*,Deuteronomy,21,10
17,יז,Deuteronomy,22,6
18,יח,Deuteronomy,23,10
19,יט,Deuteronomy,23,22
20,כ,Deuteronomy,24,19
21,כא,Deuteronomy,26,1
22,כב,Deuteronomy,28,1
23,כג,Deuteronomy,29,9
24,כד,Deuteronomy,30,11
25,כה,Deuteronomy,31,14
26,כו,Deuteronomy,32,1
27,כז,Deuteronomy,33,1
